Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/29/16,1,5.64,-0.103423057,-0.065346535,26.5153,23.1743,105933.913,-3.8144,6.9487,112.3431,24.9121,21.9001,48.3609,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,1,3/31/17,0,5.46,0.068864902,0.051553672,24.8478,22.4036,193624.598,0,0,148.2657,24.8433,18.3616,55.2543,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,2,6/30/17,0,5.4,0.072683308,0.022834117,22.7443,22.8028,192167.948,-11.0646,7.0823,149.5045,24.7245,13.8178,54.6112,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,3,9/29/17,0,4.97,0.041854304,-0.037426133,22.0968,22.7969,197944.098,-10.0881,7.3029,144.3097,25.8494,14.7671,54.7034,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/29/17,0,4.58,0.047358908,0.009549795,26.5252,23.1754,199074.984,0,0,145.2034,27.0184,14.1742,54.941,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,1,3/28/18,0,4.44,-0.067604768,-0.087837838,25.5847,24.8259,197143.227,0,0,136.273,27.459,14.6453,53.2622,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,2,6/29/18,0,3.9,-0.098517136,-0.192592593,22.6298,25.4738,199531.001,0,0,143.3538,27.2516,12.9805,53.6512,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,3,9/28/18,0,3.46,0.011557367,-0.100917431,19.8326,24.9679,204655.149,0,0,136.7616,28.2988,11.3873,52.7331,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/28/18,1,3.79,0.026000368,0.12244898,22.3487,24.2102,234753.556,0,0,133.3888,30.3698,13.941,52.107,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,1,3/29/19,1,3.83,0.060930723,0.071818182,19.3318,23.7785,226272.279,0,0,130.5878,31.0131,9.507,51.4533,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,2,6/28/19,0,3.53,0.009945802,-0.067005937,14.2092,23.1549,227216.906,0,0,136.9166,30.2239,7.4334,52.047,,,,,,,,,,
