X,Quarters,Performance,Weights,Earnings.per.Share,Price.to.Sales,Operating.Margins,Price.to.Book,ROE,ROA,Dividend.Yield,EPS.Growth,Earnings.Yield,PE,Debt.to.Equity,Book.Value.Per.Share,Net.Debt.to.EBITDA,Current.Ratio,Profit.Margin,Total.Debt.to.Total.Asset,Return.on.Capital,FCF.to.Basic.Share,Tangible.Book.value.per.Share
ABOITIZ EQUITY VENTURES INC,12/29/16,1,5.46,0.83,3.41,22.74,3.01,22.8,192167.95,-11.06,-8.69,7.08,18.91,149.5,24.72,5.21,2.08,13.82,54.61,9.77,0.45,17.38
ABOITIZ EQUITY VENTURES INC,3/31/17,0,5.4,0.99,3.27,22.1,2.95,22.8,197944.1,-10.09,1.22,7.3,19.28,144.31,25.85,5.07,2.21,14.77,54.7,9.9,0.96,18.51
ABOITIZ EQUITY VENTURES INC,6/28/19,0,3.5,1.2,1.46,18.82,1.75,20.31,267448.69,-6.14,-6.31,11.62,14.48,146.87,30.33,5.83,1.19,13.58,53.6,8.52,1.04,19.28
ABOITIZ EQUITY VENTURES INC,12/27/19,0,3.59,0.36,1.07,14.4,1.25,19.07,263666.67,-12.83,-42.49,15.3,10.34,161.44,30.28,5.92,1.3,4.45,54.76,8.06,1.65,18.25
ABOITIZ EQUITY VENTURES INC,3/31/20,1,3.73,0.36,1.35,13.23,1.49,17.81,268457.72,-3.71,-62.93,11.7,14.97,161.4,30.49,6.35,1.32,4.37,55.02,6.99,0.85,18.45
ABOITIZ EQUITY VENTURES INC,6/30/20,1,3.98,0.78,1.42,18.96,1.47,16.5,266057.66,-6.79,-34.91,11.05,17.56,154.27,31.25,6.48,1.32,10.4,54.46,6.19,0.41,19.34
ABOITIZ EQUITY VENTURES INC,12/29/20,0,2.72,1.52,1.05,17.1,1.04,18.38,264398.67,3.85,322.22,16.92,8.84,147.8,33.24,5.8,1.57,18.37,54.31,7.62,2.06,20.96
ABOITIZ EQUITY VENTURES INC,3/31/21,0,3.1,0.87,1.22,12.55,1.23,18.5,271531.88,8.21,143.7,14.24,9.55,139.47,34.4,5.83,1.5,8.8,52.78,8.28,0.54,21.86
ABOITIZ EQUITY VENTURES INC,6/30/21,1,3.54,1.08,1.32,16.64,1.34,18.41,268612.87,8.72,37.93,12.8,10.32,127.52,36.35,5.6,1.51,10.91,50.59,8.82,1.02,23.29
ABOITIZ EQUITY VENTURES INC,9/30/21,1,3.84,1.22,1.37,13.46,1.25,15.48,186829.76,17.19,-2.04,10.8,11.62,104.14,43.46,4.06,2.32,10.39,46.53,7.94,0.56,30.25
ABOITIZ EQUITY VENTURES INC,12/31/21,1,4.07,0.7,1.4,12,1.38,15.2,227748.52,20.64,-53.95,9.74,15.39,103.18,43.05,4.97,2.22,6.3,46.19,7.02,0.67,29.58
ABOITIZ EQUITY VENTURES INC,3/31/22,1,3.81,1.4,1.04,15.18,1.08,16.66,268999.26,20.03,60.92,13.74,10.82,101.86,44.04,5.36,1.98,10.72,45.89,7.86,-1.05,30.07
ABOITIZ EQUITY VENTURES INC,6/30/22,0,4.55,1.69,1.07,15.28,1.18,17.31,276450.14,17.31,56.48,13.19,10.72,96.73,45.44,5.17,1.95,11.89,44.52,8.84,-0.13,30.94
ABOITIZ EQUITY VENTURES INC,12/29/22,0,3.58,0.71,0.85,9.42,1.07,13.95,332282.33,-7.76,1.43,12.73,10.96,108.06,45.31,6.44,1.8,5.28,46.88,8.1,2.35,31.37
ABOITIZ EQUITY VENTURES INC,3/31/23,0,4.01,1.15,0.93,13.48,1.17,13.63,278165.05,-5.35,-17.86,11.33,13.06,103.86,46.42,5.36,1.79,7.81,46.1,8.05,-0.52,32.3
ABOITIZ POWER CORP,12/29/16,1,1.7,0.59,3.25,27.08,3.09,28.56,167345.71,-11.23,-13.24,8.82,15.89,201.21,13.52,4.99,1.71,16.32,59.51,10.4,0.37,7.59
ABOITIZ POWER CORP,3/31/17,0,1.31,0.73,2.8,26.37,2.72,29.07,173185.49,-12.14,8.96,10.17,14.48,189.67,14.29,4.82,1.99,17.91,60.16,10.65,0.87,8.37
ABOITIZ POWER CORP,6/28/19,0,1.32,0.65,2.24,26.83,2.32,25.13,200592.25,-2.77,-36.89,10.98,15.31,179.35,16.56,4.95,1.23,15.65,57.33,10.55,0.92,10.27
ABOITIZ POWER CORP,12/27/19,0,1.31,0.28,1.56,21.7,1.63,24.04,195406.2,-0.69,-42.86,14.81,12.32,189.75,16.14,5.01,1.2,7.39,57.19,8.74,0.81,9.78
ABOITIZ POWER CORP,3/31/20,1,1.16,0.23,1.73,19.82,1.66,21.82,200046.69,4.95,-66.18,13.04,16.02,186.75,16.23,5.48,1.25,6.67,57.72,6.48,0.53,9.9
ABOITIZ POWER CORP,6/30/20,0,1.15,0.44,1.68,29.33,1.55,21.31,194707.8,-0.04,-32.31,13.78,17.31,180.87,16.48,5.3,1.28,11.63,57.6,5.76,0.7,10.39
ABOITIZ POWER CORP,12/29/20,0,0.97,0.84,1.57,25.57,1.35,23.31,187844.25,12.22,200,16.65,10.37,173.59,17.44,4.71,1.35,23,57.89,8.02,1.53,11.37
ABOITIZ POWER CORP,3/31/21,0,0.94,0.54,1.52,18.55,1.34,23.66,185258.61,13.31,134.78,16.69,9.49,160.55,18.25,4.51,1.28,11.81,56.02,8.8,0.62,12.16
ABOITIZ POWER CORP,6/30/21,0,1.18,0.75,1.85,24.13,1.56,22.25,181303.77,15.3,70.45,13.06,10.74,138.96,19.92,4.42,1.28,16.7,52.8,9.75,0.88,13.61
ABOITIZ POWER CORP,9/30/21,1,1.09,0.7,1.63,17.44,1.48,20.51,177307.16,5.99,-7.57,12.91,10.5,150.69,20.11,4.5,1.53,12.64,54.85,9.29,0.64,13.85
ABOITIZ POWER CORP,12/31/21,0,1.29,0.39,1.85,16.83,1.81,19.95,185265.77,6.26,-53.57,10.34,15.13,155.24,19.87,4.78,1.57,8.06,55.51,8.19,0.51,13.53
ABOITIZ POWER CORP,3/31/22,1,1.24,0.96,1.39,20.41,1.35,20.85,188238.23,6.74,77.78,14.15,10.54,141.96,21.8,4.46,1.55,15.15,52.9,8.88,0.19,15.12
ABOITIZ POWER CORP,6/30/22,0,1.36,1.29,1.28,19.7,1.32,20.82,192284.8,5.11,72.6,14.64,9.21,128.2,23.38,4.29,1.46,17.92,50.82,9.77,-0.09,16.31
ABOITIZ POWER CORP,12/29/22,0,1.44,1.02,1.32,14.19,1.72,20.08,188017.17,7.42,161.54,11.21,8.52,147.14,21.66,4.7,1.59,15.44,53.19,11.64,1.35,15.03
ABOITIZ POWER CORP,3/31/23,1,1.48,1.4,1.3,17.18,1.66,18.76,193326.15,6.77,45.83,10.96,8,135.69,23.12,4.76,1.59,17.89,51.74,12.13,-0.01,16.42
ALLIANCE GLOBAL GROUP INC,12/29/16,0,1.55,0.35,0.93,22.51,0.86,23.08,84444.07,-22.1,8.12,26.39,8.53,61.91,14.68,2.16,1.9,10.78,30.33,7.1,-0.43,11.03
ALLIANCE GLOBAL GROUP INC,3/31/17,0,1.69,0.31,1.06,22.35,0.95,22.07,90989.77,-39.16,-20.11,22.74,10.16,73.82,14.99,2.37,1.96,9.87,34.31,6.46,-0.49,11.25
ALLIANCE GLOBAL GROUP INC,6/28/19,0,0.94,0.48,0.62,22.29,0.59,18.7,146713.88,-5.22,13.49,31.36,6.7,69.11,18.45,3.52,2.98,10.97,33.56,5.77,0.13,14.33
ALLIANCE GLOBAL GROUP INC,12/27/19,1,0.87,0.31,0.39,18.43,0.38,18.46,156813.57,-1.47,-30.74,49,4.11,74.17,18.5,3.62,2.31,7.96,34.34,5.81,0.28,14.57
ALLIANCE GLOBAL GROUP INC,3/31/20,0,0.73,0.09,0.42,9.25,0.37,14.5,156302.48,4.8,-77.3,40.01,4.84,72.5,18.56,4.24,2.23,3.7,33.5,4.71,0.04,14.65
ALLIANCE GLOBAL GROUP INC,6/30/20,0,0.79,0.21,0.48,14.62,0.38,11.35,151740.11,-16.54,-56.49,31.08,6.17,80,18.5,4.78,2.29,7.15,35.21,3.67,0.65,14.54
ALLIANCE GLOBAL GROUP INC,12/29/20,1,1.09,0.27,0.86,18.05,0.55,8.09,154925.26,-1.46,-11.73,14.67,12,77.06,19.24,5.98,2.19,8.31,34.43,2.71,-0.2,15.12
ALLIANCE GLOBAL GROUP INC,3/31/21,1,0.98,0.63,0.75,23.49,0.51,11,152081.85,-1.94,624.96,21.3,7.12,73.94,19.85,4.8,2.36,17.96,34.03,4.61,0.07,15.69
ALLIANCE GLOBAL GROUP INC,6/30/21,0,0.98,0.37,0.71,17.52,0.51,12.13,154648.37,16.56,77.08,23.41,6.48,73.81,20.35,4.54,2.27,9.56,33.94,4.99,0.11,16.15
ALLIANCE GLOBAL GROUP INC,9/30/21,1,1.09,0.56,0.77,12.3,0.58,12.67,137615.69,9.76,74.52,22.61,6.45,69.63,20.44,3.82,2.04,11.83,33.16,5.45,0.98,16.5
ALLIANCE GLOBAL GROUP INC,12/31/21,1,1.12,0.42,0.78,20.91,0.55,13.46,137740.9,9.64,54.95,23.16,6.34,67.96,22.63,3.63,2.03,10.68,32.67,5.83,0.33,18.34
ALLIANCE GLOBAL GROUP INC,3/31/22,1,0.92,0.47,0.51,23.27,0.38,14.29,140858.45,16.98,-25.36,35.96,4.84,66.07,23.01,3.49,2.15,10.04,31.99,5.38,0.12,18.75
ALLIANCE GLOBAL GROUP INC,6/30/22,0,0.91,0.4,0.46,20.75,0.35,15.34,150600.2,16.53,7.04,42.11,4.48,68.09,23.39,3.47,2.26,8.33,32.72,5.41,-0.13,19.08
ALLIANCE GLOBAL GROUP INC,12/29/22,1,1.19,0.52,0.58,20.57,0.47,15.87,116115.99,12.03,25.24,32.19,6.6,55.75,26.37,2.46,2.21,9.73,27.53,6.02,-0.29,21.87
ALLIANCE GLOBAL GROUP INC,3/31/23,1,1.29,0.51,0.61,21.62,0.5,15.68,148231.22,10.36,9.84,30.22,6.99,61.11,27.09,3.14,2.44,9.57,30.72,6.02,-0.34,22.51
AYALA CORPORATION,12/29/16,0,6.21,10.65,2.44,23.53,2.2,23.73,240675.17,-4.03,20.89,10.23,19.62,82.27,372.29,3.77,1.24,12.81,33.29,8.7,6.55,353.54
AYALA CORPORATION,3/31/17,1,5.74,12.57,2.33,26.43,2.16,24.42,249854.63,-3.05,1.62,10.78,19.64,80.19,381.6,3.73,1.33,14.37,32.87,8.65,-13.18,358.48
AYALA CORPORATION,6/28/19,0,6.1,12.73,2.18,18.82,1.61,17.66,340855.95,-2.51,7.22,10.09,11.15,77.48,532.97,4.83,1.43,13.05,32.65,10.33,-30.66,506.38
AYALA CORPORATION,12/27/19,0,4.65,10.14,1.11,16.98,0.87,20.48,338816.07,-28.33,-23.74,22.43,5.91,88.39,519.75,4.07,1.51,12.49,33.29,6.27,-40.74,491.29
AYALA CORPORATION,3/31/20,0,6.66,1.53,2.13,8.7,1.46,9.48,357943.19,-17.78,-94.57,6.57,22.49,92.47,514.03,6.97,1.5,4.1,34.19,2.43,-15.53,483.48
AYALA CORPORATION,6/30/20,1,6.23,4.96,2.02,10.74,1.27,7.27,348803.68,-22.74,-76.1,5.8,28.07,85.28,525.34,7.79,1.55,7.06,32.45,1.64,-8.38,495.05
AYALA CORPORATION,12/29/20,0,6.09,8.07,2.34,12.37,1.33,6.21,378684.37,-0.9,-4.99,4.58,48.76,83.62,540.86,9.34,1.73,10.28,33.03,4.82,-8.52,506.78
AYALA CORPORATION,3/31/21,0,6.15,8.03,2.25,11.95,1.41,7.35,388183.27,5.56,240.83,5.02,37.48,87.41,550.85,8.88,1.7,9.25,36.04,5.37,4.47,516.41
AYALA CORPORATION,6/30/21,1,6.21,13.9,2.25,19.96,1.41,8.83,408927.65,-5.81,357.01,6.03,25.1,97.14,559.63,8.51,1.75,16.72,39.33,5.83,-9.94,524.53
AYALA CORPORATION,9/30/21,1,6.12,12.66,2.22,15.82,1.4,9.89,414715.48,-2.04,1253.82,6.79,18.27,89.53,573.71,8.15,1.85,12.86,37.52,5.77,-5.37,538.01
AYALA CORPORATION,12/31/21,0,5.88,12.05,2.17,9.74,1.37,9.4,433128.85,-5.21,47.31,6.65,16.65,89.98,582.86,8.9,1.78,14.14,37.96,5.95,-8.31,547.14
AYALA CORPORATION,3/31/22,0,5.02,13.12,1.57,16.87,1.04,10.56,454979.99,-11.19,55.22,9.94,11.41,90.52,577.45,8.62,1.8,13.61,37.92,6.44,-5.53,540.56
AYALA CORPORATION,6/30/22,0,5.46,11.77,1.51,11.8,1.06,9.71,490936.77,-3.98,-15.32,9.02,12.2,98.02,581.38,9.71,1.94,11.1,39.59,6.24,-5.27,543.91
AYALA CORPORATION,12/29/22,0,5.02,16,1.47,12.21,1.09,8.6,523920.86,-14.33,32.78,7.79,14.12,97.63,594.08,11.17,1.78,15.48,39.92,6.52,-13.81,524.79
AYALA CORPORATION,3/31/23,0,4.81,12.69,1.36,7.66,1,7.11,520619.73,-15.06,-3.28,6.83,13.7,94.38,622.91,12.61,1.84,11.3,39.38,6.34,-8.64,557.92
AYALA LAND INC,12/29/16,0,7.28,10.65,2.44,23.53,2.2,23.73,240675.17,-4.03,20.89,10.23,19.62,82.27,372.29,3.77,1.24,12.81,33.29,8.7,6.55,353.54
AYALA LAND INC,3/31/17,0,8.05,12.57,2.33,26.43,2.16,24.42,249854.63,-3.05,1.62,10.78,19.64,80.19,381.6,3.73,1.33,14.37,32.87,8.65,-13.18,358.48
AYALA LAND INC,6/28/19,1,9.81,12.73,2.18,18.82,1.61,17.66,340855.95,-2.51,7.22,10.09,11.15,77.48,532.97,4.83,1.43,13.05,32.65,10.33,-30.66,506.38
AYALA LAND INC,12/27/19,0,8.65,10.14,1.11,16.98,0.87,20.48,338816.07,-28.33,-23.74,22.43,5.91,88.39,519.75,4.07,1.51,12.49,33.29,6.27,-40.74,491.29
AYALA LAND INC,3/31/20,0,8.33,1.53,2.13,8.7,1.46,9.48,357943.19,-17.78,-94.57,6.57,22.49,92.47,514.03,6.97,1.5,4.1,34.19,2.43,-15.53,483.48
AYALA LAND INC,6/30/20,0,7.72,4.96,2.02,10.74,1.27,7.27,348803.68,-22.74,-76.1,5.8,28.07,85.28,525.34,7.79,1.55,7.06,32.45,1.64,-8.38,495.05
AYALA LAND INC,12/29/20,1,8.12,8.07,2.34,12.37,1.33,6.21,378684.37,-0.9,-4.99,4.58,48.76,83.62,540.86,9.34,1.73,10.28,33.03,4.82,-8.52,506.78
AYALA LAND INC,3/31/21,0,7.97,8.03,2.25,11.95,1.41,7.35,388183.27,5.56,240.83,5.02,37.48,87.41,550.85,8.88,1.7,9.25,36.04,5.37,4.47,516.41
AYALA LAND INC,6/30/21,0,7.32,13.9,2.25,19.96,1.41,8.83,408927.65,-5.81,357.01,6.03,25.1,97.14,559.63,8.51,1.75,16.72,39.33,5.83,-9.94,524.53
AYALA LAND INC,9/30/21,0,7.77,12.66,2.22,15.82,1.4,9.89,414715.48,-2.04,1253.82,6.79,18.27,89.53,573.71,8.15,1.85,12.86,37.52,5.77,-5.37,538.01
AYALA LAND INC,12/31/21,1,7.2,12.05,2.17,9.74,1.37,9.4,433128.85,-5.21,47.31,6.65,16.65,89.98,582.86,8.9,1.78,14.14,37.96,5.95,-8.31,547.14
AYALA LAND INC,3/31/22,0,6.14,13.12,1.57,16.87,1.04,10.56,454979.99,-11.19,55.22,9.94,11.41,90.52,577.45,8.62,1.8,13.61,37.92,6.44,-5.53,540.56
AYALA LAND INC,6/30/22,0,5.82,11.77,1.51,11.8,1.06,9.71,490936.77,-3.98,-15.32,9.02,12.2,98.02,581.38,9.71,1.94,11.1,39.59,6.24,-5.27,543.91
AYALA LAND INC,12/29/22,1,5.88,16,1.47,12.21,1.09,8.6,523920.86,-14.33,32.78,7.79,14.12,97.63,594.08,11.17,1.78,15.48,39.92,6.52,-13.81,524.79
AYALA LAND INC,3/31/23,0,5.38,12.69,1.36,7.66,1,7.11,520619.73,-15.06,-3.28,6.83,13.7,94.38,622.91,12.61,1.84,11.3,39.38,6.34,-8.64,557.92
DMCI HOLDINGS INC,12/29/16,1,1.21,0.31,2.06,34.89,2.12,30.32,15696.19,3.64,34.78,13.71,11.03,46.68,5.37,0.57,2.51,21.6,24.35,16.65,0.21,5.25
DMCI HOLDINGS INC,3/31/17,0,1.43,0.27,2.49,29.67,2.67,32.1,22933.46,4.26,8,11.36,13.38,45.51,5.27,0.82,2.67,19.65,24.63,16.97,0.13,5.15
DMCI HOLDINGS INC,6/28/19,0,0.84,0.21,1.24,13.61,1.35,19.05,30785.66,0.54,50,14.05,8.84,49.49,6.14,1.22,2.05,12.79,25.39,12.95,-0.05,6.01
DMCI HOLDINGS INC,12/27/19,0,0.55,0.05,0.61,2.65,0.65,15.68,31820.92,-8.47,-77.27,24.76,5.95,55.3,5.77,1.48,1.8,4.36,25.34,9.41,-0.32,5.77
DMCI HOLDINGS INC,3/31/20,0,0.51,0.11,0.78,16.61,0.7,11.79,38104.89,-0.31,-60.95,16.99,8.87,54.33,5.88,2.15,2.11,12.06,26.43,6.89,-0.01,5.88
DMCI HOLDINGS INC,6/30/20,0,0.53,0.14,0.81,11.88,0.66,10.38,35673.07,8.04,-33.33,15.78,10.2,52.58,6.02,2.14,2.11,10.4,25.71,5.39,0.17,6.02
DMCI HOLDINGS INC,12/29/20,1,0.67,0.32,0.95,21.9,0.93,15.01,32156.31,11.49,540,15.9,7.74,51.84,5.99,1.61,1.98,17.78,24,8.46,0.01,5.99
DMCI HOLDINGS INC,3/31/21,1,0.71,0.39,0.87,20.85,0.99,19.62,36398.46,4.37,254.55,19.13,6.31,53.08,6.38,1.47,2.39,17.58,25.94,11.37,0.04,6.38
DMCI HOLDINGS INC,6/30/21,1,0.79,0.3,0.91,20.32,1.06,22.75,31687.26,3.02,114.29,20.36,6.14,50.53,6.68,1.13,2.37,15.15,25.47,13.44,0.52,6.68
DMCI HOLDINGS INC,9/30/21,1,0.83,0.37,0.94,27.51,1.17,29.03,34723.09,11.36,152.39,24.02,5.59,48.75,6.61,1.04,2.25,17.37,24.66,16.97,0.5,6.61
DMCI HOLDINGS INC,12/31/21,1,0.94,0.85,0.94,40.9,1.21,41.73,24491.2,8.12,165.63,31.07,4.73,43.4,7.46,0.53,2.52,25.73,22.91,24.06,1.08,7.46
DMCI HOLDINGS INC,3/31/22,1,1.08,0.68,0.86,35.11,1.15,47.51,16454.77,11.44,74.36,37.82,4.01,41.97,7.66,0.31,2.79,23.95,22.94,26.46,0.92,7.66
DMCI HOLDINGS INC,6/30/22,1,1.28,0.55,0.92,33.78,1.2,50.59,12110.49,10.21,83.33,38.09,4.04,38.65,8.21,0.21,3.16,22.35,21.99,28.39,0.33,8.21
EMPERADOR INC,12/29/16,1,0,0.09,2.37,20.77,1.92,19.25,13111.71,1.59,0,10.02,12.53,48.77,3.15,1.24,2.78,16.68,25.66,10.27,0.05,1.55
EMPERADOR INC,3/31/17,0,0,0.07,2.98,17.95,2.34,17.28,17975.59,2.18,-46.15,7.36,17.87,51.99,3.23,1.85,3.66,13.16,28.2,9.1,-0.12,1.63
EMPERADOR INC,6/28/19,0,0,0.13,2.25,22.03,1.71,15.52,26128.56,1.09,5.53,8.69,16.61,49.49,4.15,2.36,2.89,16.33,26.9,8.09,0.03,2.26
EMPERADOR INC,12/27/19,0,0,0.09,2.48,17.47,1.92,13.93,26711.07,4.98,-18.18,7.02,19.76,54.52,4.15,2.55,2.68,13.68,30.13,7.16,0.11,2.39
EMPERADOR INC,3/31/20,1,0,0.12,2.54,20.96,1.99,14.78,28158.49,4.8,26.82,7.18,19.22,52.99,4.15,2.55,2.72,17.18,29.15,8.59,-0.01,2.4
EMPERADOR INC,6/30/20,0,0,0.16,3.01,24.27,2.36,15.15,27672.67,4.96,25.62,6.25,21.42,53.13,4.18,2.42,2.82,19.67,29.51,7.97,0.21,2.42
EMPERADOR INC,12/29/20,0,0,0.13,2.97,21.78,2.49,16.37,24815.62,4.12,44.44,6.66,18.75,51.33,4.1,2.01,2.32,17.26,27.77,9.06,0.31,2.33
EMPERADOR INC,3/31/21,1,0,0.19,3.57,33.9,2.92,19.38,26303.13,5.03,58.09,6.41,20.86,47.05,4.39,1.81,2.46,22.63,26.49,10.14,0.06,2.54
