Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
0.83,22.74,22.8,-8.69,7.08,149.5,24.72,5.21,2.08,13.82,54.61,9.77,0.45,17.38,0.0381
0.99,22.1,22.8,1.22,7.3,144.31,25.85,5.07,2.21,14.77,54.7,9.9,0.96,18.51,-0.0173
1,26.53,23.18,-14.99,NA,145.2,27.02,4.51,2.47,14.17,54.94,9.58,1.72,19.7,-0.0499
1.01,25.58,24.83,6.63,NA,136.27,27.46,4.18,1.61,14.65,53.26,9.18,-1.14,19.58,-0.0793
0.86,22.63,25.47,3.25,NA,143.35,27.25,4.15,1.58,12.98,53.65,9.18,0.38,19.36,-0.0379
0.93,19.83,24.97,-5.94,NA,136.76,28.3,4.16,1.66,11.39,52.73,9.16,1.23,20.36,-0.0202
1.28,22.35,24.21,28.4,NA,133.39,30.37,4.85,1.6,13.94,52.11,9.25,0.81,19.61,-0.0941
0.87,19.33,23.78,-13.83,NA,130.59,31.01,4.62,1.8,9.51,51.45,9.24,1.62,19.69,-0.1125
0.63,14.21,23.15,-26.95,NA,136.92,30.22,4.77,1.53,7.43,52.05,9.02,0.94,19.33,0.0964
0.96,15.59,22.76,3.1,NA,153.93,29.29,5.64,1.37,9.84,54.51,9.12,1.46,18.37,0.0109
1.2,18.82,20.31,-6.31,11.62,146.87,30.33,5.83,1.19,13.58,53.6,8.52,1.04,19.28,-0.0769
1.12,16.28,18.6,28.31,NA,143,31.33,5.98,1.27,12.96,52.79,8.55,1.26,19.47,-0.0079
0.36,14.4,19.07,-42.49,15.3,161.44,30.28,5.92,1.3,4.45,54.76,8.06,1.65,18.25,-0.0339
0.36,13.23,17.81,-62.93,11.7,161.4,30.49,6.35,1.32,4.37,55.02,6.99,0.85,18.45,0.0511
0.78,18.96,16.5,-34.91,11.05,154.27,31.25,6.48,1.32,10.4,54.46,6.19,0.41,19.34,0.0403
1.24,21.69,17.51,10.82,NA,147.65,32.51,5.96,1.61,14.05,54.2,6.28,0.9,20.48,0.0663
1.52,17.1,18.38,322.22,16.92,147.8,33.24,5.8,1.57,18.37,54.31,7.62,2.06,20.96,-0.1903
0.87,12.55,18.5,143.7,14.24,139.47,34.4,5.83,1.5,8.8,52.78,8.28,0.54,21.86,-0.1722
1.08,16.64,18.41,37.93,12.8,127.52,36.35,5.6,1.51,10.91,50.59,8.82,1.02,23.29,0.1505
