,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
ABOITIZ EQUITY VENTURES INC,4,12/29/16,1,5.46,-0.1034,-0.0653,22.74,22.8,192167.95,-11.06,7.08,149.5,24.72,13.82,54.61
ABOITIZ EQUITY VENTURES INC,1,3/31/17,0,5.4,0.0689,0.0516,22.1,22.8,197944.1,-10.09,7.3,144.31,25.85,14.77,54.7
ABOITIZ EQUITY VENTURES INC,2,6/30/17,0,4.97,0.0727,0.0228,26.53,23.18,199074.98,0.00,0,145.2,27.02,14.17,54.94
ABOITIZ EQUITY VENTURES INC,3,9/29/17,0,4.58,0.0419,-0.0374,25.58,24.83,197143.23,0.00,0,136.27,27.46,14.65,53.26
ABOITIZ EQUITY VENTURES INC,4,12/29/17,0,4.44,0.0474,0.0095,22.63,25.47,199531,0.00,0,143.35,27.25,12.98,53.65
ABOITIZ EQUITY VENTURES INC,1,3/28/18,0,3.9,-0.0676,-0.0878,19.83,24.97,204655.15,0.00,0,136.76,28.3,11.39,52.73
ABOITIZ EQUITY VENTURES INC,2,6/29/18,0,3.46,-0.0985,-0.1926,22.35,24.21,234753.56,0.00,0,133.39,30.37,13.94,52.11
ABOITIZ EQUITY VENTURES INC,3,9/28/18,0,3.79,0.0116,-0.1009,19.33,23.78,226272.28,0.00,0,130.59,31.01,9.51,51.45
ABOITIZ EQUITY VENTURES INC,4,12/28/18,1,3.83,0.026,0.1224,14.21,23.15,227216.91,0.00,0,136.92,30.22,7.43,52.05
ABOITIZ EQUITY VENTURES INC,1,3/29/19,1,3.53,0.0609,0.0718,15.59,22.76,267960.97,0.00,0,153.93,29.29,9.84,54.51
ABOITIZ EQUITY VENTURES INC,2,6/28/19,0,3.5,0.0099,-0.067,18.82,20.31,267448.69,-6.14,11.62,146.87,30.33,13.58,53.6
ABOITIZ EQUITY VENTURES INC,3,9/30/19,0,3.39,-0.0276,-0.0355,16.28,18.6,264165.77,0.00,0,143,31.33,12.96,52.79
ABOITIZ EQUITY VENTURES INC,4,12/27/19,0,3.59,0.0047,-0.0292,14.4,19.07,263666.67,-12.83,15.3,161.44,30.28,4.45,54.76
ABOITIZ EQUITY VENTURES INC,1,3/31/20,1,3.73,-0.3191,-0.268,13.23,17.81,268457.72,-3.71,11.7,161.4,30.49,4.37,55.02
ABOITIZ EQUITY VENTURES INC,2,6/30/20,1,3.98,0.1666,0.2069,18.96,16.5,266057.66,-6.79,11.05,154.27,31.25,10.4,54.46
ABOITIZ EQUITY VENTURES INC,3,9/30/20,1,3.37,-0.0553,0.011,21.69,17.51,263213.94,0.00,0,147.65,32.51,14.05,54.2
ABOITIZ EQUITY VENTURES INC,4,12/29/20,0,2.72,0.2175,0.0272,17.1,18.38,264398.67,3.85,16.92,147.8,33.24,18.37,54.31
ABOITIZ EQUITY VENTURES INC,1,3/31/21,0,3.1,-0.0976,-0.2698,12.55,18.5,271531.88,8.21,14.24,139.47,34.4,8.8,52.78
ABOITIZ EQUITY VENTURES INC,2,6/30/21,1,3.54,0.0712,0.2217,16.64,18.41,268612.87,8.72,12.8,127.52,36.35,10.91,50.59
ABOITIZ EQUITY VENTURES INC,3,9/30/21,1,3.84,0.0074,0.153,13.46,15.48,186829.76,17.19,10.8,104.14,43.46,10.39,46.53
ABOITIZ EQUITY VENTURES INC,4,12/31/21,1,4.07,0.0244,0.1204,12,15.2,227748.52,20.64,9.74,103.18,43.05,6.3,46.19
ABOITIZ EQUITY VENTURES INC,1,3/31/22,1,3.81,0.0113,0.0927,15.18,16.66,268999.26,20.03,13.74,101.86,44.04,10.72,45.89
ABOITIZ EQUITY VENTURES INC,2,6/30/22,0,4.55,-0.1455,-0.2008,15.28,17.31,276450.14,17.31,13.19,96.73,45.44,11.89,44.52
ABOITIZ EQUITY VENTURES INC,3,9/30/22,1,4.29,-0.0673,0.1283,4.5,14.02,275241.27,0.00,0,107.59,45.32,3.84,46.64
ABOITIZ EQUITY VENTURES INC,4,12/29/22,0,3.58,0.1438,0.0755,9.42,13.95,332282.33,-7.76,12.73,108.06,45.31,5.28,46.88
ABOITIZ EQUITY VENTURES INC,1,3/31/23,0,4.01,-0.0102,-0.1612,13.48,13.63,278165.05,-5.35,11.33,103.86,46.42,7.81,46.1
ABOITIZ EQUITY VENTURES INC,2,6/30/23,1,3.76,-0.0049,0.124,13.98,12.52,273529.76,0.00,0,104.77,47.35,10.23,46.57
ABOITIZ POWER CORP,4,12/29/16,1,1.7,-0.1034,-0.0865,27.08,28.56,167345.71,-11.23,8.82,201.21,13.52,16.32,59.51
ABOITIZ POWER CORP,1,3/31/17,0,1.31,0.0689,0.0012,26.37,29.07,173185.49,-12.14,10.17,189.67,14.29,17.91,60.16
ABOITIZ POWER CORP,2,6/30/17,0,1.38,0.0727,-0.0683,31.26,29.96,173627.66,0.00,0,187.05,15.16,18.97,59.93
ABOITIZ POWER CORP,3,9/29/17,1,1.27,0.0419,0.1015,29.43,31,170296.42,0.00,0,166.15,15.68,15.07,56.99
ABOITIZ POWER CORP,4,12/29/17,0,1.27,0.0474,-0.0303,28.28,33.46,173714.36,0.00,0,188.61,14.97,13.77,58.06
ABOITIZ POWER CORP,1,3/28/18,0,1.3,-0.0676,-0.0686,23.93,32.43,178110.26,0.00,0,175,15.77,14.22,57.43
ABOITIZ POWER CORP,2,6/29/18,0,1.23,-0.0985,-0.1021,31.19,31.21,180204.1,0.00,0,158.94,16.95,21.54,55.85
ABOITIZ POWER CORP,3,9/28/18,0,1.26,0.0116,-0.0374,27.78,30.02,170155.57,0.00,0,158.52,17.36,16,55.56
ABOITIZ POWER CORP,4,12/28/18,1,1.2,0.026,0.0493,20.97,30.1,170303.76,0.00,0,173.01,16.26,12.16,56.3
